cell_id	leiden	cell_type
Composite-TMA-18_1087	2	Epithelial immunosuppressive
Composite-TMA-18_1088	16	Other immune
Composite-TMA-18_1092	16	Other immune
Composite-TMA-18_1093	2	Epithelial immunosuppressive
Composite-TMA-18_1095	2	Epithelial immunosuppressive
Composite-TMA-18_1096	2	Epithelial immunosuppressive
Composite-TMA-18_1097	2	Epithelial immunosuppressive
Composite-TMA-18_1098	2	Epithelial immunosuppressive
Composite-TMA-18_1099	2	Epithelial immunosuppressive
Composite-TMA-18_110	0	Stromal
Composite-TMA-18_1100	16	Other immune
Composite-TMA-18_1101	2	Epithelial immunosuppressive
Composite-TMA-18_1102	2	Epithelial immunosuppressive
Composite-TMA-18_1103	16	Other immune
Composite-TMA-18_1105	2	Epithelial immunosuppressive
Composite-TMA-18_1106	2	Epithelial immunosuppressive
Composite-TMA-18_1107	16	Other immune
Composite-TMA-18_1108	2	Epithelial immunosuppressive
Composite-TMA-18_1109	2	Epithelial immunosuppressive
Composite-TMA-18_1110	2	Epithelial immunosuppressive
Composite-TMA-18_1113	2	Epithelial immunosuppressive
Composite-TMA-18_1115	16	Other immune
Composite-TMA-18_1116	2	Epithelial immunosuppressive
Composite-TMA-18_1117	16	Other immune
Composite-TMA-18_1118	2	Epithelial immunosuppressive
Composite-TMA-18_1119	2	Epithelial immunosuppressive
Composite-TMA-18_1121	2	Epithelial immunosuppressive
Composite-TMA-18_1122	2	Epithelial immunosuppressive
Composite-TMA-18_1123	2	Epithelial immunosuppressive
Composite-TMA-18_1124	16	Other immune
Composite-TMA-18_1128	2	Epithelial immunosuppressive
Composite-TMA-18_1130	2	Epithelial immunosuppressive
Composite-TMA-18_1132	2	Epithelial immunosuppressive
Composite-TMA-18_1133	2	Epithelial immunosuppressive
Composite-TMA-18_1136	2	Epithelial immunosuppressive
Composite-TMA-18_1138	16	Other immune
Composite-TMA-18_114	2	Epithelial immunosuppressive
Composite-TMA-18_1140	2	Epithelial immunosuppressive
Composite-TMA-18_1141	2	Epithelial immunosuppressive
Composite-TMA-18_1142	16	Other immune
Composite-TMA-18_1143	16	Other immune
Composite-TMA-18_1144	16	Other immune
Composite-TMA-18_1148	2	Epithelial immunosuppressive
Composite-TMA-18_1149	2	Epithelial immunosuppressive
Composite-TMA-18_1150	2	Epithelial immunosuppressive
Composite-TMA-18_1152	2	Epithelial immunosuppressive
Composite-TMA-18_1153	2	Epithelial immunosuppressive
Composite-TMA-18_1154	16	Other immune
Composite-TMA-18_1155	2	Epithelial immunosuppressive
Composite-TMA-18_1162	2	Epithelial immunosuppressive
Composite-TMA-18_1163	2	Epithelial immunosuppressive
Composite-TMA-18_1164	2	Epithelial immunosuppressive
Composite-TMA-18_1166	2	Epithelial immunosuppressive
Composite-TMA-18_1169	16	Other immune
Composite-TMA-18_1171	2	Epithelial immunosuppressive
Composite-TMA-18_1173	2	Epithelial immunosuppressive
Composite-TMA-18_1174	2	Epithelial immunosuppressive
Composite-TMA-18_1178	2	Epithelial immunosuppressive
Composite-TMA-18_1181	16	Other immune
Composite-TMA-18_1183	2	Epithelial immunosuppressive
Composite-TMA-18_1185	2	Epithelial immunosuppressive
Composite-TMA-18_1186	16	Other immune
Composite-TMA-18_1187	2	Epithelial immunosuppressive
Composite-TMA-18_1190	2	Epithelial immunosuppressive
Composite-TMA-18_1191	2	Epithelial immunosuppressive
Composite-TMA-18_1192	2	Epithelial immunosuppressive
Composite-TMA-18_1193	2	Epithelial immunosuppressive
Composite-TMA-18_1197	2	Epithelial immunosuppressive
Composite-TMA-18_1198	2	Epithelial immunosuppressive
Composite-TMA-18_1199	2	Epithelial immunosuppressive
Composite-TMA-18_120	2	Epithelial immunosuppressive
Composite-TMA-18_1200	2	Epithelial immunosuppressive
Composite-TMA-18_1202	2	Epithelial immunosuppressive
Composite-TMA-18_1203	2	Epithelial immunosuppressive
Composite-TMA-18_1207	2	Epithelial immunosuppressive
Composite-TMA-18_1209	2	Epithelial immunosuppressive
Composite-TMA-18_1214	16	Other immune
Composite-TMA-18_1216	16	Other immune
Composite-TMA-18_1217	2	Epithelial immunosuppressive
Composite-TMA-18_1218	2	Epithelial immunosuppressive
Composite-TMA-18_1219	2	Epithelial immunosuppressive
Composite-TMA-18_1220	2	Epithelial immunosuppressive
Composite-TMA-18_1221	2	Epithelial immunosuppressive
Composite-TMA-18_1222	2	Epithelial immunosuppressive
Composite-TMA-18_1225	2	Epithelial immunosuppressive
Composite-TMA-18_1229	2	Epithelial immunosuppressive
Composite-TMA-18_1230	2	Epithelial immunosuppressive
Composite-TMA-18_1231	2	Epithelial immunosuppressive
Composite-TMA-18_1232	2	Epithelial immunosuppressive
Composite-TMA-18_1233	2	Epithelial immunosuppressive
Composite-TMA-18_1234	2	Epithelial immunosuppressive
Composite-TMA-18_1235	2	Epithelial immunosuppressive
Composite-TMA-18_1236	2	Epithelial immunosuppressive
Composite-TMA-18_1237	2	Epithelial immunosuppressive
Composite-TMA-18_1238	2	Epithelial immunosuppressive
Composite-TMA-18_1239	2	Epithelial immunosuppressive
Composite-TMA-18_1241	2	Epithelial immunosuppressive
Composite-TMA-18_1243	2	Epithelial immunosuppressive
Composite-TMA-18_1244	2	Epithelial immunosuppressive
Composite-TMA-18_1246	2	Epithelial immunosuppressive
Composite-TMA-18_1248	2	Epithelial immunosuppressive
Composite-TMA-18_1249	2	Epithelial immunosuppressive
Composite-TMA-18_125	2	Epithelial immunosuppressive
Composite-TMA-18_1250	2	Epithelial immunosuppressive
Composite-TMA-18_1252	2	Epithelial immunosuppressive
Composite-TMA-18_1253	2	Epithelial immunosuppressive
Composite-TMA-18_1256	2	Epithelial immunosuppressive
Composite-TMA-18_126	2	Epithelial immunosuppressive
Composite-TMA-18_1263	2	Epithelial immunosuppressive
Composite-TMA-18_1265	2	Epithelial immunosuppressive
Composite-TMA-18_1267	16	Other immune
Composite-TMA-18_127	2	Epithelial immunosuppressive
Composite-TMA-18_1276	9	Epithelial
Composite-TMA-18_1278	2	Epithelial immunosuppressive
Composite-TMA-18_1280	2	Epithelial immunosuppressive
Composite-TMA-18_1281	2	Epithelial immunosuppressive
Composite-TMA-18_1288	16	Other immune
Composite-TMA-18_1291	2	Epithelial immunosuppressive
Composite-TMA-18_1292	2	Epithelial immunosuppressive
Composite-TMA-18_1295	2	Epithelial immunosuppressive
Composite-TMA-18_1299	2	Epithelial immunosuppressive
Composite-TMA-18_130	2	Epithelial immunosuppressive
Composite-TMA-18_1300	2	Epithelial immunosuppressive
Composite-TMA-18_1301	2	Epithelial immunosuppressive
Composite-TMA-18_1309	2	Epithelial immunosuppressive
Composite-TMA-18_1312	2	Epithelial immunosuppressive
Composite-TMA-18_1313	2	Epithelial immunosuppressive
Composite-TMA-18_1314	2	Epithelial immunosuppressive
Composite-TMA-18_1317	2	Epithelial immunosuppressive
Composite-TMA-18_1318	2	Epithelial immunosuppressive
Composite-TMA-18_132	2	Epithelial immunosuppressive
Composite-TMA-18_1322	2	Epithelial immunosuppressive
Composite-TMA-18_1325	2	Epithelial immunosuppressive
Composite-TMA-18_1328	16	Other immune
Composite-TMA-18_1329	2	Epithelial immunosuppressive
Composite-TMA-18_1330	16	Other immune
Composite-TMA-18_1331	2	Epithelial immunosuppressive
Composite-TMA-18_1332	2	Epithelial immunosuppressive
Composite-TMA-18_1333	2	Epithelial immunosuppressive
Composite-TMA-18_1334	16	Other immune
Composite-TMA-18_1335	2	Epithelial immunosuppressive
Composite-TMA-18_1337	16	Other immune
Composite-TMA-18_1339	9	Epithelial
Composite-TMA-18_1340	9	Epithelial
Composite-TMA-18_1343	2	Epithelial immunosuppressive
Composite-TMA-18_1344	2	Epithelial immunosuppressive
Composite-TMA-18_1345	16	Other immune
Composite-TMA-18_1354	16	Other immune
Composite-TMA-18_1355	2	Epithelial immunosuppressive
Composite-TMA-18_1358	16	Other immune
Composite-TMA-18_136	2	Epithelial immunosuppressive
Composite-TMA-18_1360	2	Epithelial immunosuppressive
Composite-TMA-18_1365	9	Epithelial
Composite-TMA-18_1368	2	Epithelial immunosuppressive
Composite-TMA-18_1369	2	Epithelial immunosuppressive
Composite-TMA-18_1373	2	Epithelial immunosuppressive
Composite-TMA-18_1375	9	Epithelial
Composite-TMA-18_1377	2	Epithelial immunosuppressive
Composite-TMA-18_1378	2	Epithelial immunosuppressive
Composite-TMA-18_1379	2	Epithelial immunosuppressive
Composite-TMA-18_1382	0	Stromal
Composite-TMA-18_1384	2	Epithelial immunosuppressive
Composite-TMA-18_1386	0	Stromal
Composite-TMA-18_1388	9	Epithelial
Composite-TMA-18_1391	9	Epithelial
Composite-TMA-18_1392	9	Epithelial
Composite-TMA-18_1396	2	Epithelial immunosuppressive
Composite-TMA-18_1398	2	Epithelial immunosuppressive
Composite-TMA-18_140	2	Epithelial immunosuppressive
Composite-TMA-18_1400	2	Epithelial immunosuppressive
Composite-TMA-18_1401	2	Epithelial immunosuppressive
Composite-TMA-18_1404	0	Stromal
Composite-TMA-18_1405	5	Stromal
Composite-TMA-18_1408	2	Epithelial immunosuppressive
Composite-TMA-18_141	2	Epithelial immunosuppressive
Composite-TMA-18_1413	2	Epithelial immunosuppressive
Composite-TMA-18_1414	2	Epithelial immunosuppressive
Composite-TMA-18_1416	2	Epithelial immunosuppressive
Composite-TMA-18_1417	2	Epithelial immunosuppressive
Composite-TMA-18_1418	2	Epithelial immunosuppressive
Composite-TMA-18_1419	9	Epithelial
Composite-TMA-18_1422	2	Epithelial immunosuppressive
Composite-TMA-18_1430	2	Epithelial immunosuppressive
Composite-TMA-18_1431	2	Epithelial immunosuppressive
Composite-TMA-18_1433	2	Epithelial immunosuppressive
Composite-TMA-18_1436	2	Epithelial immunosuppressive
Composite-TMA-18_1439	2	Epithelial immunosuppressive
Composite-TMA-18_144	2	Epithelial immunosuppressive
Composite-TMA-18_1440	2	Epithelial immunosuppressive
Composite-TMA-18_1444	2	Epithelial immunosuppressive
Composite-TMA-18_1446	16	Other immune
Composite-TMA-18_1447	2	Epithelial immunosuppressive
Composite-TMA-18_1448	16	Other immune
Composite-TMA-18_1449	2	Epithelial immunosuppressive
Composite-TMA-18_145	2	Epithelial immunosuppressive
Composite-TMA-18_1450	2	Epithelial immunosuppressive
Composite-TMA-18_1452	2	Epithelial immunosuppressive
Composite-TMA-18_1454	2	Epithelial immunosuppressive
Composite-TMA-18_1460	2	Epithelial immunosuppressive
Composite-TMA-18_1471	2	Epithelial immunosuppressive
Composite-TMA-18_1473	2	Epithelial immunosuppressive
Composite-TMA-18_1475	2	Epithelial immunosuppressive
Composite-TMA-18_1476	2	Epithelial immunosuppressive
Composite-TMA-18_1478	16	Other immune
Composite-TMA-18_1479	2	Epithelial immunosuppressive
Composite-TMA-18_1480	2	Epithelial immunosuppressive
Composite-TMA-18_1482	2	Epithelial immunosuppressive
Composite-TMA-18_1483	2	Epithelial immunosuppressive
Composite-TMA-18_1486	2	Epithelial immunosuppressive
Composite-TMA-18_1487	2	Epithelial immunosuppressive
Composite-TMA-18_1488	2	Epithelial immunosuppressive
Composite-TMA-18_1489	2	Epithelial immunosuppressive
Composite-TMA-18_149	2	Epithelial immunosuppressive
Composite-TMA-18_1491	2	Epithelial immunosuppressive
Composite-TMA-18_1492	2	Epithelial immunosuppressive
Composite-TMA-18_1494	2	Epithelial immunosuppressive
Composite-TMA-18_1495	2	Epithelial immunosuppressive
Composite-TMA-18_1497	2	Epithelial immunosuppressive
Composite-TMA-18_1499	2	Epithelial immunosuppressive
Composite-TMA-18_1500	2	Epithelial immunosuppressive
Composite-TMA-18_1502	2	Epithelial immunosuppressive
Composite-TMA-18_1504	2	Epithelial immunosuppressive
Composite-TMA-18_1506	2	Epithelial immunosuppressive
Composite-TMA-18_1509	2	Epithelial immunosuppressive
Composite-TMA-18_1511	2	Epithelial immunosuppressive
Composite-TMA-18_1512	2	Epithelial immunosuppressive
Composite-TMA-18_1517	2	Epithelial immunosuppressive
Composite-TMA-18_1519	16	Other immune
Composite-TMA-18_152	2	Epithelial immunosuppressive
Composite-TMA-18_1520	2	Epithelial immunosuppressive
Composite-TMA-18_1521	2	Epithelial immunosuppressive
Composite-TMA-18_1524	2	Epithelial immunosuppressive
Composite-TMA-18_1525	2	Epithelial immunosuppressive
Composite-TMA-18_1527	2	Epithelial immunosuppressive
Composite-TMA-18_1528	2	Epithelial immunosuppressive
Composite-TMA-18_1531	2	Epithelial immunosuppressive
Composite-TMA-18_1532	2	Epithelial immunosuppressive
Composite-TMA-18_1535	2	Epithelial immunosuppressive
Composite-TMA-18_1536	2	Epithelial immunosuppressive
Composite-TMA-18_1537	2	Epithelial immunosuppressive
Composite-TMA-18_1538	2	Epithelial immunosuppressive
Composite-TMA-18_1545	2	Epithelial immunosuppressive
Composite-TMA-18_1547	2	Epithelial immunosuppressive
Composite-TMA-18_1548	2	Epithelial immunosuppressive
Composite-TMA-18_1551	2	Epithelial immunosuppressive
Composite-TMA-18_1552	2	Epithelial immunosuppressive
Composite-TMA-18_1555	2	Epithelial immunosuppressive
Composite-TMA-18_1556	2	Epithelial immunosuppressive
Composite-TMA-18_1559	2	Epithelial immunosuppressive
Composite-TMA-18_1560	2	Epithelial immunosuppressive
Composite-TMA-18_1561	2	Epithelial immunosuppressive
Composite-TMA-18_1563	0	Stromal
Composite-TMA-18_1565	2	Epithelial immunosuppressive
Composite-TMA-18_1568	2	Epithelial immunosuppressive
Composite-TMA-18_1573	2	Epithelial immunosuppressive
Composite-TMA-18_1574	2	Epithelial immunosuppressive
Composite-TMA-18_1575	16	Other immune
Composite-TMA-18_1576	2	Epithelial immunosuppressive
Composite-TMA-18_1578	2	Epithelial immunosuppressive
Composite-TMA-18_158	2	Epithelial immunosuppressive
Composite-TMA-18_1580	2	Epithelial immunosuppressive
Composite-TMA-18_1581	2	Epithelial immunosuppressive
Composite-TMA-18_1582	2	Epithelial immunosuppressive
Composite-TMA-18_1583	9	Epithelial
Composite-TMA-18_1584	2	Epithelial immunosuppressive
Composite-TMA-18_1585	2	Epithelial immunosuppressive
Composite-TMA-18_1586	2	Epithelial immunosuppressive
Composite-TMA-18_1587	2	Epithelial immunosuppressive
Composite-TMA-18_1588	2	Epithelial immunosuppressive
Composite-TMA-18_1589	2	Epithelial immunosuppressive
Composite-TMA-18_1590	2	Epithelial immunosuppressive
Composite-TMA-18_1591	2	Epithelial immunosuppressive
Composite-TMA-18_1592	2	Epithelial immunosuppressive
Composite-TMA-18_1593	2	Epithelial immunosuppressive
Composite-TMA-18_1594	16	Other immune
Composite-TMA-18_1595	2	Epithelial immunosuppressive
Composite-TMA-18_1596	2	Epithelial immunosuppressive
Composite-TMA-18_1598	2	Epithelial immunosuppressive
Composite-TMA-18_160	2	Epithelial immunosuppressive
Composite-TMA-18_1601	2	Epithelial immunosuppressive
Composite-TMA-18_1602	2	Epithelial immunosuppressive
Composite-TMA-18_1605	2	Epithelial immunosuppressive
Composite-TMA-18_1606	2	Epithelial immunosuppressive
Composite-TMA-18_1607	2	Epithelial immunosuppressive
Composite-TMA-18_1609	2	Epithelial immunosuppressive
Composite-TMA-18_1611	2	Epithelial immunosuppressive
Composite-TMA-18_1613	2	Epithelial immunosuppressive
Composite-TMA-18_1615	16	Other immune
Composite-TMA-18_1616	2	Epithelial immunosuppressive
Composite-TMA-18_1618	16	Other immune
Composite-TMA-18_1619	2	Epithelial immunosuppressive
Composite-TMA-18_162	16	Other immune
Composite-TMA-18_1620	2	Epithelial immunosuppressive
Composite-TMA-18_1622	9	Epithelial
Composite-TMA-18_1623	2	Epithelial immunosuppressive
Composite-TMA-18_1624	2	Epithelial immunosuppressive
Composite-TMA-18_1626	2	Epithelial immunosuppressive
Composite-TMA-18_1627	2	Epithelial immunosuppressive
Composite-TMA-18_1628	2	Epithelial immunosuppressive
Composite-TMA-18_1629	2	Epithelial immunosuppressive
Composite-TMA-18_1630	2	Epithelial immunosuppressive
Composite-TMA-18_1631	2	Epithelial immunosuppressive
Composite-TMA-18_1633	2	Epithelial immunosuppressive
Composite-TMA-18_1635	2	Epithelial immunosuppressive
Composite-TMA-18_1636	2	Epithelial immunosuppressive
Composite-TMA-18_1637	2	Epithelial immunosuppressive
Composite-TMA-18_1638	2	Epithelial immunosuppressive
Composite-TMA-18_1639	2	Epithelial immunosuppressive
Composite-TMA-18_164	16	Other immune
Composite-TMA-18_1640	2	Epithelial immunosuppressive
Composite-TMA-18_1641	2	Epithelial immunosuppressive
Composite-TMA-18_1642	2	Epithelial immunosuppressive
Composite-TMA-18_1643	2	Epithelial immunosuppressive
Composite-TMA-18_1644	16	Other immune
Composite-TMA-18_1645	2	Epithelial immunosuppressive
Composite-TMA-18_1646	2	Epithelial immunosuppressive
Composite-TMA-18_1647	2	Epithelial immunosuppressive
Composite-TMA-18_1650	16	Other immune
Composite-TMA-18_1651	2	Epithelial immunosuppressive
Composite-TMA-18_1652	2	Epithelial immunosuppressive
Composite-TMA-18_1653	2	Epithelial immunosuppressive
Composite-TMA-18_1654	2	Epithelial immunosuppressive
Composite-TMA-18_1655	2	Epithelial immunosuppressive
Composite-TMA-18_1658	2	Epithelial immunosuppressive
Composite-TMA-18_1659	2	Epithelial immunosuppressive
Composite-TMA-18_166	2	Epithelial immunosuppressive
Composite-TMA-18_1660	2	Epithelial immunosuppressive
Composite-TMA-18_1661	2	Epithelial immunosuppressive
Composite-TMA-18_1662	2	Epithelial immunosuppressive
Composite-TMA-18_1664	2	Epithelial immunosuppressive
Composite-TMA-18_1665	2	Epithelial immunosuppressive
Composite-TMA-18_1666	2	Epithelial immunosuppressive
Composite-TMA-18_1667	2	Epithelial immunosuppressive
Composite-TMA-18_1670	2	Epithelial immunosuppressive
Composite-TMA-18_1671	2	Epithelial immunosuppressive
Composite-TMA-18_1672	2	Epithelial immunosuppressive
Composite-TMA-18_1675	2	Epithelial immunosuppressive
Composite-TMA-18_1677	2	Epithelial immunosuppressive
Composite-TMA-18_1679	2	Epithelial immunosuppressive
Composite-TMA-18_1680	2	Epithelial immunosuppressive
Composite-TMA-18_1682	2	Epithelial immunosuppressive
Composite-TMA-18_1683	2	Epithelial immunosuppressive
Composite-TMA-18_1684	2	Epithelial immunosuppressive
Composite-TMA-18_1686	2	Epithelial immunosuppressive
Composite-TMA-18_1688	2	Epithelial immunosuppressive
Composite-TMA-18_169	2	Epithelial immunosuppressive
Composite-TMA-18_1690	2	Epithelial immunosuppressive
Composite-TMA-18_1691	2	Epithelial immunosuppressive
Composite-TMA-18_1692	2	Epithelial immunosuppressive
Composite-TMA-18_1693	2	Epithelial immunosuppressive
Composite-TMA-18_1694	2	Epithelial immunosuppressive
Composite-TMA-18_1695	2	Epithelial immunosuppressive
Composite-TMA-18_1696	2	Epithelial immunosuppressive
Composite-TMA-18_1697	2	Epithelial immunosuppressive
Composite-TMA-18_1698	2	Epithelial immunosuppressive
Composite-TMA-18_1699	0	Stromal
Composite-TMA-18_1700	2	Epithelial immunosuppressive
Composite-TMA-18_1703	2	Epithelial immunosuppressive
Composite-TMA-18_1704	2	Epithelial immunosuppressive
Composite-TMA-18_1705	2	Epithelial immunosuppressive
Composite-TMA-18_1706	2	Epithelial immunosuppressive
Composite-TMA-18_1707	2	Epithelial immunosuppressive
Composite-TMA-18_1709	2	Epithelial immunosuppressive
Composite-TMA-18_1710	2	Epithelial immunosuppressive
Composite-TMA-18_1713	16	Other immune
Composite-TMA-18_1715	2	Epithelial immunosuppressive
Composite-TMA-18_1717	2	Epithelial immunosuppressive
Composite-TMA-18_1719	2	Epithelial immunosuppressive
Composite-TMA-18_1721	2	Epithelial immunosuppressive
Composite-TMA-18_1722	2	Epithelial immunosuppressive
Composite-TMA-18_1723	2	Epithelial immunosuppressive
Composite-TMA-18_1725	2	Epithelial immunosuppressive
Composite-TMA-18_1726	2	Epithelial immunosuppressive
Composite-TMA-18_1727	2	Epithelial immunosuppressive
Composite-TMA-18_1728	16	Other immune
Composite-TMA-18_1731	2	Epithelial immunosuppressive
Composite-TMA-18_1732	2	Epithelial immunosuppressive
Composite-TMA-18_1735	2	Epithelial immunosuppressive
Composite-TMA-18_1736	2	Epithelial immunosuppressive
Composite-TMA-18_1741	2	Epithelial immunosuppressive
Composite-TMA-18_1742	2	Epithelial immunosuppressive
Composite-TMA-18_1743	2	Epithelial immunosuppressive
Composite-TMA-18_1744	2	Epithelial immunosuppressive
Composite-TMA-18_1745	2	Epithelial immunosuppressive
Composite-TMA-18_1746	16	Other immune
Composite-TMA-18_1747	16	Other immune
Composite-TMA-18_1749	16	Other immune
Composite-TMA-18_175	2	Epithelial immunosuppressive
Composite-TMA-18_1750	2	Epithelial immunosuppressive
Composite-TMA-18_1752	2	Epithelial immunosuppressive
Composite-TMA-18_1754	2	Epithelial immunosuppressive
Composite-TMA-18_1755	2	Epithelial immunosuppressive
Composite-TMA-18_1756	16	Other immune
Composite-TMA-18_1758	16	Other immune
Composite-TMA-18_1759	2	Epithelial immunosuppressive
Composite-TMA-18_176	2	Epithelial immunosuppressive
Composite-TMA-18_1761	16	Other immune
Composite-TMA-18_1763	16	Other immune
Composite-TMA-18_1764	2	Epithelial immunosuppressive
Composite-TMA-18_1765	2	Epithelial immunosuppressive
Composite-TMA-18_1766	2	Epithelial immunosuppressive
Composite-TMA-18_1767	2	Epithelial immunosuppressive
Composite-TMA-18_1769	2	Epithelial immunosuppressive
Composite-TMA-18_177	2	Epithelial immunosuppressive
Composite-TMA-18_1770	2	Epithelial immunosuppressive
Composite-TMA-18_1771	10	Epithelial
Composite-TMA-18_1773	2	Epithelial immunosuppressive
Composite-TMA-18_1774	2	Epithelial immunosuppressive
Composite-TMA-18_1775	16	Other immune
Composite-TMA-18_1776	2	Epithelial immunosuppressive
Composite-TMA-18_1777	2	Epithelial immunosuppressive
Composite-TMA-18_1779	16	Other immune
Composite-TMA-18_178	2	Epithelial immunosuppressive
Composite-TMA-18_1780	2	Epithelial immunosuppressive
Composite-TMA-18_1781	16	Other immune
Composite-TMA-18_1782	2	Epithelial immunosuppressive
Composite-TMA-18_1783	2	Epithelial immunosuppressive
Composite-TMA-18_1786	2	Epithelial immunosuppressive
Composite-TMA-18_1787	16	Other immune
Composite-TMA-18_1788	2	Epithelial immunosuppressive
Composite-TMA-18_1789	2	Epithelial immunosuppressive
Composite-TMA-18_179	2	Epithelial immunosuppressive
Composite-TMA-18_1791	2	Epithelial immunosuppressive
Composite-TMA-18_1792	16	Other immune
Composite-TMA-18_1794	9	Epithelial
Composite-TMA-18_1795	16	Other immune
Composite-TMA-18_1797	2	Epithelial immunosuppressive
Composite-TMA-18_1798	2	Epithelial immunosuppressive
Composite-TMA-18_180	2	Epithelial immunosuppressive
Composite-TMA-18_1800	16	Other immune
Composite-TMA-18_1801	2	Epithelial immunosuppressive
Composite-TMA-18_1804	2	Epithelial immunosuppressive
Composite-TMA-18_1806	16	Other immune
Composite-TMA-18_1808	2	Epithelial immunosuppressive
Composite-TMA-18_1809	2	Epithelial immunosuppressive
Composite-TMA-18_1811	2	Epithelial immunosuppressive
Composite-TMA-18_1812	2	Epithelial immunosuppressive
Composite-TMA-18_1813	16	Other immune
Composite-TMA-18_1814	16	Other immune
Composite-TMA-18_1816	2	Epithelial immunosuppressive
Composite-TMA-18_1818	2	Epithelial immunosuppressive
Composite-TMA-18_1819	2	Epithelial immunosuppressive
Composite-TMA-18_182	9	Epithelial
Composite-TMA-18_1821	2	Epithelial immunosuppressive
Composite-TMA-18_1822	9	Epithelial
Composite-TMA-18_1825	2	Epithelial immunosuppressive
Composite-TMA-18_1826	16	Other immune
Composite-TMA-18_1827	2	Epithelial immunosuppressive
Composite-TMA-18_1828	2	Epithelial immunosuppressive
Composite-TMA-18_1829	2	Epithelial immunosuppressive
Composite-TMA-18_1830	2	Epithelial immunosuppressive
Composite-TMA-18_1831	2	Epithelial immunosuppressive
Composite-TMA-18_1832	16	Other immune
Composite-TMA-18_1833	2	Epithelial immunosuppressive
Composite-TMA-18_1834	16	Other immune
