cell_id	cell_type	annotator
LiveCell_T_BB099_Plate1_clustered_cell_7004	T cells	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_2470	Stromal	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_4440	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_10928	Stromal	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_1708	Unclear	Annotator-1
LiveCell_T_BB145_Plate1_clustered_cell_624	Epithelial (luminal)	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_5990	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_4503	T cells	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_360	T cells	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1174	Epithelial (luminal)	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_2894	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_1951	Stromal	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_2678	T cells	Annotator-1
LiveCell_T_BB236_Plate2_clustered_cell_785	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_5051	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_6819	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_4385	Macrophage	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_492	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_2399	T cells	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_2213	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3431	T cells	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1326	Epithelial (luminal)	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_935	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_6570	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_6425	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_1092	Epithelial (luminal)	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_6249	T cells	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_883	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3671	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12707	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_8758	Unclear	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_1562	Stromal	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1708	Epithelial (luminal)	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_8036	Stromal	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1212	Epithelial (luminal)	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_2496	Unclear	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_3397	Unclear	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_748	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_1708	Stromal	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_447	T cells	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_358	T cells	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_985	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3467	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3361	Endothelial	Annotator-1
LiveCell_T_BB193_Plate2_clustered_cell_1524	T cells	Annotator-1
LiveCell_T_BB028_Plate2_clustered_cell_586	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_347	Stromal	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1954	T cells	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_1397	Stromal	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_618	Stromal	Annotator-1
LiveCell_T_BB193_Plate2_clustered_cell_73	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_7865	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_6027	Stromal	Annotator-1
LiveCell_T_BB028_Plate2_clustered_cell_788	T cells	Annotator-1
LiveCell_T_BB145_Plate1_clustered_cell_300	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_8736	Stromal	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_2090	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_503	T cells	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_2760	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_577	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3927	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_4032	Unclear	Annotator-1
LiveCell_T_BB055_Plate1_clustered_cell_160	Endothelial	Annotator-1
LiveCell_T_BB193_Plate2_clustered_cell_2074	Endothelial	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3026	T cells	Annotator-1
LiveCell_T_BB055_Plate1_clustered_cell_342	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_6828	Unclear	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_2589	T cells	Annotator-1
LiveCell_T_BB055_Plate1_clustered_cell_1	T cells	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_1313	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_8017	Unclear	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_4162	T cells	Annotator-1
LiveCell_T_BB193_Plate2_clustered_cell_184	Endothelial	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_673	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_1129	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12297	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_8166	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_3820	Epithelial (basal)	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12091	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_1970	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_1519	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_1445	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_10748	Unclear	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_2397	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_10011	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_1815	Stromal	Annotator-1
LiveCell_T_BB055_Plate1_clustered_cell_369	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_4984	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_9315	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_2397	Epithelial (luminal)	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_5650	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_3685	Epithelial (basal)	Annotator-1
LiveCell_T_BB193_Plate2_clustered_cell_1601	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_11475	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_7673	Unclear	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1801	Endothelial	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_1217	Epithelial (luminal)	Annotator-1
LiveCell_T_BB145_Plate1_clustered_cell_912	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_5347	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12837	Endothelial	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3829	Stromal	Annotator-1
LiveCell_T_BB236_Plate2_clustered_cell_317	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_3322	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_4860	T cells	Annotator-1
LiveCell_T_BB028_Plate2_clustered_cell_556	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3866	Stromal	Annotator-1
LiveCell_T_BB055_Plate1_clustered_cell_941	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_5814	T cells	Annotator-1
LiveCell_T_BB236_Plate2_clustered_cell_1092	Endothelial	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_4015	Stromal	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_1506	Epithelial (luminal)	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_405	Macrophage	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_3195	Epithelial (luminal)	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_1119	Stromal	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_2185	T cells	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_300	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3600	T cells	Annotator-1
LiveCell_T_BB236_Plate2_clustered_cell_1116	Endothelial	Annotator-1
LiveCell_T_BB193_Plate2_clustered_cell_274	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_6890	Stromal	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_2330	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_2772	Unclear	Annotator-1
LiveCell_T_BB055_Plate1_clustered_cell_760	Endothelial	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_11670	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_8236	Endothelial	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_4426	Unclear	Annotator-1
LiveCell_T_BB236_Plate2_clustered_cell_699	Unclear	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_1742	Unclear	Annotator-1
LiveCell_T_BB055_Plate1_clustered_cell_6	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_5264	Stromal	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_2363	Stromal	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_413	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_4869	Unclear	Annotator-1
LiveCell_T_BB028_Plate2_clustered_cell_174	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_10400	Unclear	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_1104	Stromal	Annotator-1
LiveCell_T_BB193_Plate2_clustered_cell_1298	Endothelial	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3085	T cells	Annotator-1
LiveCell_T_BB236_Plate2_clustered_cell_370	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_3774	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_425	Unclear	Annotator-1
LiveCell_T_BB193_Plate2_clustered_cell_122	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_10323	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_585	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_267	T cells	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_1706	Endothelial	Annotator-1
LiveCell_T_BB193_Plate2_clustered_cell_1053	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12406	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_8720	Unclear	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_1000	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_2912	Unclear	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_894	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12299	Epithelial (luminal)	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_144	T cells	Annotator-1
LiveCell_T_BB028_Plate2_clustered_cell_717	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_6777	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12839	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_7794	Unclear	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_151	Endothelial	Annotator-1
LiveCell_T_BB055_Plate1_clustered_cell_452	T cells	Annotator-1
LiveCell_T_BB145_Plate1_clustered_cell_621	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_10174	T cells	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1864	Epithelial (luminal)	Annotator-1
LiveCell_T_BB145_Plate1_clustered_cell_76	T cells	Annotator-1
LiveCell_T_BB145_Plate1_clustered_cell_829	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3495	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_1650	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3139	T cells	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_2286	Unclear	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1075	Epithelial (luminal)	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_1316	Endothelial	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_7043	Unclear	Annotator-1
LiveCell_T_BB145_Plate1_clustered_cell_197	Unclear	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_2589	Endothelial	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_15	Stromal	Annotator-1
LiveCell_T_BB028_Plate2_clustered_cell_161	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_10283	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_487	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_5138	Epithelial (basal)	Annotator-1
